#{"t_start": 1619626609.562277, "env_id": "seir-v0"}
r,l,t
-0.191289,25,1.539158
-0.229811,25,3.121931
-0.241582,25,4.562126
-0.225365,25,5.687841
-0.463186,25,6.999718
-0.245215,25,8.165033
-0.347255,25,9.328443
-0.251098,25,10.584291
-0.244045,25,11.769359
-0.552005,25,12.868825
-0.251064,25,14.050792
-0.316934,25,15.278927
-0.157225,25,16.499047
-0.333703,25,17.736026
-0.283915,25,19.0363
-0.280333,25,20.328575
-0.268494,25,22.06821
-0.37849,25,23.814971
-0.236347,25,25.079052
-0.212574,25,26.32403
-0.16051,25,27.460896
-0.27326,25,28.510067
-0.450634,25,29.571294
-0.312317,25,30.690648
-0.30039,25,31.783413
-0.316289,25,32.867876
-0.250372,25,34.041969
-0.427225,25,35.263274
